Volt,Intensity,I
-3.5,0,-0.000187173
-3.45,0,-0.000181575
-3.4,0,-0.000178845
-3.35,0,-0.000173849
-3.3,0,-0.000171638
-3.25,0,-0.000167079
-3.2,0,-0.000165115
-3.15,0,-0.000160932
-3.1,0,-0.000158924
-3.05,0,-0.000154412
-3,0,-0.000152655
-2.95,0,-0.000148416
-2.9,0,-0.000146459
-2.85,0,-0.000142342
-2.8,0,-0.000140303
-2.75,0,-0.000138475
-2.7,0,-0.000134233
-2.65,0,-0.000132408
-2.6,0,-0.000128408
-2.55,0,-0.000126666
-2.5,0,-0.000122488
-2.45,0,-0.000120398
-2.4,0,-0.00011623
-2.35,0,-0.000114245
-2.3,0,-0.000110199
-2.25,0,-0.000108136
-2.2,0,-0.000104291
-2.15,0,-0.000102362
-2.1,0,-9.83449E-05
-2.05,0,-9.64519E-05
-2,0,-9.22731E-05
-1.95,0,-9.05644E-05
-1.9,0,-8.8563E-05
-1.85,0,-8.45724E-05
-1.8,0,-8.26492E-05
-1.75,0,-7.86575E-05
-1.7,0,-7.69281E-05
-1.65,0,-7.30032E-05
-1.6,0,-7.12274E-05
-1.55,0,-6.74042E-05
-1.5,0,-6.55205E-05
-1.45,0,-6.1592E-05
-1.4,0,-5.98569E-05
-1.35,0,-5.60765E-05
-1.3,0,-5.41784E-05
-1.25,0,-5.05291E-05
-1.2,0,-4.87622E-05
-1.15,0,-4.50255E-05
-1.1,0,-4.33321E-05
-1.05,0,-4.16164E-05
-1,0,-3.81127E-05
-0.95,0,-3.64466E-05
-0.9,0,-3.29326E-05
-0.85,0,-3.13553E-05
-0.8,0,-2.80831E-05
-0.75,0,-2.64845E-05
-0.7,0,-2.33717E-05
-0.65,0,-2.1779E-05
-0.6,0,-1.88352E-05
-0.55,0,-1.7399E-05
-0.5,0,-1.46493E-05
-0.45,0,-1.33834E-05
-0.4,0,-1.08632E-05
-0.35,0,-9.61547E-06
-0.3,0,-7.37113E-06
-0.25,0,-6.2996E-06
-0.2,0,-5.21136E-06
-0.15,0,-3.25943E-06
-0.1,0,-2.31927E-06
-0.05,0,-4.07583E-07
0.05,0,2.24225E-06
0.1,0,3.09325E-06
0.15,0,4.83289E-06
0.2,0,5.71655E-06
0.25,0,7.46357E-06
0.3,0,8.32756E-06
0.35,0,1.01121E-05
0.4,0,1.09704E-05
0.45,0,1.28359E-05
0.5,0,1.36788E-05
0.55,0,1.55193E-05
0.6,0,1.65065E-05
0.65,0,1.74134E-05
0.7,0,1.93692E-05
0.75,0,2.03706E-05
0.8,0,2.25002E-05
0.85,0,2.36111E-05
0.9,0,2.60235E-05
0.95,0,2.73034E-05
1,0,3.02317E-05
1.05,0,3.17727E-05
1.1,0,3.4986E-05
1.15,0,3.69828E-05
1.2,0,4.09459E-05
1.25,0,4.32018E-05
1.3,0,4.78305E-05
1.35,0,5.08564E-05
1.4,0,5.65587E-05
1.45,0,5.96928E-05
1.5,0,6.33142E-05
1.55,0,7.06774E-05
1.6,0,7.48876E-05
1.65,0,8.33114E-05
1.7,0,8.80172E-05
1.75,0,9.79332E-05
1.8,0,0.000103338
1.85,0,0.000114186
1.9,0,0.000121407
1.95,0,0.000133263
2,0,0.000140511
2.05,0,0.00015453
2.1,0,0.000163194
2.15,0,0.000178778
2.2,0,0.000187343
2.25,0,0.000204601
2.3,0,0.000212664
2.35,0,0.000232156
2.4,0,0.000243781
2.45,0,0.00025412
2.5,0,0.000274302
2.55,0,0.000287171
2.6,0,0.000307551
2.65,0,0.000321814
2.7,0,0.00034423
2.75,0,0.0003576
2.8,0,0.000381499
2.85,0,0.000394762
2.9,0,0.000419713
2.95,0,0.000435534
3,0,0.000460372
3.05,0,0.000476179
3.1,0,0.000503728
3.15,0,0.000520093
3.2,0,0.000548536
3.25,0,0.000563323
3.3,0,0.000580543
3.35,0,0.000609378
3.4,0,0.000624927
-3.5,20,-0.000204763
-3.45,20,-0.000200083
-3.4,20,-0.000197264
-3.35,20,-0.000192558
-3.3,20,-0.000190303
-3.25,20,-0.000185506
-3.2,20,-0.000183672
-3.15,20,-0.000179208
-3.1,20,-0.000177128
-3.05,20,-0.000172562
-3,20,-0.000170362
-2.95,20,-0.000165625
-2.9,20,-0.000163463
-2.85,20,-0.000158659
-2.8,20,-0.000157091
-2.75,20,-0.000154935
-2.7,20,-0.000150282
-2.65,20,-0.000148052
-2.6,20,-0.000143566
-2.55,20,-0.000141565
-2.5,20,-0.000136841
-2.45,20,-0.000134654
-2.4,20,-0.000129999
-2.35,20,-0.00012781
-2.3,20,-0.000122979
-2.25,20,-0.000120892
-2.2,20,-0.000116476
-2.15,20,-0.000114157
-2.1,20,-0.000109774
-2.05,20,-0.000107408
-2,20,-0.00010287
-1.95,20,-0.00010077
-1.9,20,-9.86164E-05
-1.85,20,-9.39967E-05
-1.8,20,-9.21387E-05
-1.75,20,-8.73174E-05
-1.7,20,-8.50921E-05
-1.65,20,-8.11144E-05
-1.6,20,-7.90051E-05
-1.55,20,-7.46056E-05
-1.5,20,-7.25022E-05
-1.45,20,-6.80825E-05
-1.4,20,-6.59624E-05
-1.35,20,-6.19306E-05
-1.3,20,-5.98602E-05
-1.25,20,-5.56938E-05
-1.2,20,-5.3733E-05
-1.15,20,-4.95828E-05
-1.1,20,-4.75897E-05
-1.05,20,-4.57823E-05
-1,20,-4.15283E-05
-0.95,20,-3.9592E-05
-0.9,20,-3.56804E-05
-0.85,20,-3.38813E-05
-0.8,20,-3.03614E-05
-0.75,20,-2.8595E-05
-0.7,20,-2.51584E-05
-0.65,20,-2.35018E-05
-0.6,20,-2.03673E-05
-0.55,20,-1.88058E-05
-0.5,20,-1.58017E-05
-0.45,20,-1.44237E-05
-0.4,20,-1.1678E-05
-0.35,20,-1.03283E-05
-0.3,20,-7.93368E-06
-0.25,20,-6.79885E-06
-0.2,20,-5.6709E-06
-0.15,20,-3.61077E-06
-0.1,20,-2.6026E-06
-0.05,20,-6.35614E-07
0.05,20,2.0128E-06
0.1,20,2.84147E-06
0.15,20,4.55619E-06
0.2,20,5.40027E-06
0.25,20,7.10725E-06
0.3,20,7.92597E-06
0.35,20,9.66932E-06
0.4,20,1.05404E-05
0.45,20,1.2392E-05
0.5,20,1.32789E-05
0.55,20,1.50449E-05
0.6,20,1.60243E-05
0.65,20,1.70342E-05
0.7,20,1.90673E-05
0.75,20,2.02446E-05
0.8,20,2.26627E-05
0.85,20,2.39361E-05
0.9,20,2.67822E-05
0.95,20,2.83786E-05
1,20,3.17897E-05
1.05,20,3.37718E-05
1.1,20,3.77926E-05
1.15,20,4.01636E-05
1.2,20,4.49716E-05
1.25,20,4.77802E-05
1.3,20,5.35788E-05
1.35,20,5.70223E-05
1.4,20,6.39438E-05
1.45,20,6.80831E-05
1.5,20,7.24627E-05
1.55,20,8.13187E-05
1.6,20,8.64037E-05
1.65,20,9.65084E-05
1.7,20,0.000102456
1.75,20,0.000113469
1.8,20,0.000120748
1.85,20,0.000132975
1.9,20,0.00014092
1.95,20,0.000156525
2,20,0.000164498
2.05,20,0.000180651
2.1,20,0.000191094
2.15,20,0.000207773
2.2,20,0.000216176
2.25,20,0.000236584
2.3,20,0.000249121
2.35,20,0.000269165
2.4,20,0.000282427
2.45,20,0.000294189
2.5,20,0.000317183
2.55,20,0.000331357
2.6,20,0.000354574
2.65,20,0.000369789
2.7,20,0.000395382
2.75,20,0.000411611
2.8,20,0.000438314
2.85,20,0.000452582
2.9,20,0.000482165
2.95,20,0.000497041
3,20,0.000526015
3.05,20,0.000544318
3.1,20,0.000574254
3.15,20,0.000591411
3.2,20,0.000621469
3.25,20,0.000638925
3.3,20,0.000658017
3.35,20,0.000688692
3.4,20,0.000707616
-3.5,35,-0.000240874
-3.45,35,-0.000232702
-3.4,35,-0.000230107
-3.35,35,-0.000225353
-3.3,35,-0.000223041
-3.25,35,-0.0002182
-3.2,35,-0.000215924
-3.15,35,-0.000210318
-3.1,35,-0.00020859
-3.05,35,-0.000203208
-3,35,-0.000201025
